probing_dataset,emotion,text_example,character
rep_e,happiness,A long-awaited package arrives earlier than expected.,None
rep_e,happiness,"You're gifted a plant, and it starts thriving under your care.",None
rep_e,happiness,You learn that an item you bought is now a collector's piece.,None
rep_e,happiness,An old machine or gadget you thought was broken starts working again.,None
rep_e,happiness,You visit a place that looks exactly like a dream you had.,None
rep_e,happiness,Your favorite author announces a surprise book signing in your city.,None
rep_e,happiness,You successfully complete a challenging DIY project.,None
rep_e,happiness,You get the chance to adopt a pet you've been wanting.,None
rep_e,happiness,An item you thought was lost forever is found by a kind stranger.,None
rep_e,happiness,A family recipe turns out just like how you remembered it.,None
rep_e,happiness,You get the chance to relive a favorite childhood activity.,None
rep_e,happiness,The weather is perfect for an outdoor activity you love.,None
rep_e,happiness,You discover a hidden talent you never knew you had.,None
rep_e,happiness,You watch a feel-good movie that leaves you in high spirits.,None
rep_e,happiness,You get the best seat in the house at a show or event.,None
rep_e,happiness,You make a new friend during an unexpected encounter.,None
rep_e,happiness,You visit a place that's even better than the photos.,None
rep_e,happiness,You receive praise from someone you deeply respect.,None
rep_e,happiness,You experience a culture's festival or celebration for the first time.,None
rep_e,happiness,A problem that's been on your mind gets resolved in the best way.,None
rep_e,happiness,You get an unexpected day off from work or school.,None
rep_e,happiness,Your morning starts with your favorite breakfast.,None
rep_e,happiness,You are gifted a thoughtful present out of the blue.,None
rep_e,happiness,"A long line you're in suddenly opens up, and you're served quickly.",None
rep_e,happiness,You find the perfect spot to watch a sunset or sunrise.,None
rep_e,happiness,A piece of technology you struggle with starts working seamlessly.,None
rep_e,happiness,You discover a song that perfectly describes your current life situation.,None
rep_e,happiness,A surprise visit from someone you missed lifts your spirits.,None
rep_e,happiness,You get invited to an event you've been wanting to attend.,None
rep_e,happiness,You win a small prize in a contest you had forgotten about.,None
rep_e,happiness,An old friend shares a memory that makes you smile.,None
rep_e,happiness,You come across a view that takes your breath away.,None
rep_e,happiness,You learn a new skill or hobby that you're surprisingly good at.,None
rep_e,happiness,You get the best news after a long wait.,None
rep_e,happiness,A project you've been working on receives unexpected recognition.,None
rep_e,happiness,You create something you're proud of.,None
rep_e,happiness,A childhood game brings back a rush of memories.,None
rep_e,happiness,You get a positive and unexpected message on social media.,None
rep_e,happiness,A piece of trivia you know wins a game for your team.,None
rep_e,happiness,You witness a random act of kindness in public.,None
rep_e,happiness,You see your favorite animal in the wild.,None
rep_e,happiness,You come across a hidden note with an uplifting message in a bookstore.,None
rep_e,happiness,You are given an upgrade to first class on a flight.,None
rep_e,happiness,A meal tastes exactly like how a loved one used to make it.,None
rep_e,happiness,You capture a perfect photo without even trying.,None
rep_e,happiness,You attend an event and unexpectedly meet someone you admire.,None
rep_e,happiness,A difficult puzzle or game you've been working on finally comes together.,None
rep_e,happiness,You dance like no one's watching and feel liberated.,None
rep_e,happiness,You receive positive feedback on something you worked hard on.,None
rep_e,happiness,You get the perfect idea for a project you've been brainstorming.,None
rep_e,happiness,You listen to a podcast or read a story that resonates deeply.,None
rep_e,happiness,You get the chance to tick something off your bucket list.,None
rep_e,happiness,You witness a beautiful moment between two strangers.,None
rep_e,happiness,Your favorite song comes on just as you're thinking about it.,None
rep_e,happiness,You have an unplanned and delightful adventure during a trip.,None
rep_e,happiness,You receive unexpected support for a cause you're passionate about.,None
rep_e,happiness,You bond with someone over shared interests.,None
rep_e,happiness,You feel genuinely appreciated and valued in a group.,None
rep_e,happiness,You discover a beautiful and peaceful spot during a hike.,None
rep_e,happiness,You reconnect with nature during a quiet moment.,None
rep_e,happiness,You experience a moment of serendipity.,None
rep_e,happiness,You find an item you've been searching for at a garage sale.,None
rep_e,happiness,You successfully recreate a challenging art or craft project.,None
rep_e,happiness,You receive an unexpected token of appreciation.,None
rep_e,happiness,You come across a charming street performer during a walk.,None
rep_e,happiness,You attend a gathering and feel a deep sense of belonging.,None
rep_e,happiness,You find out you're going to be a mentor or role model to someone.,None
rep_e,happiness,A surprise twist in a story or game leaves you excited.,None
rep_e,happiness,You're pleasantly surprised by a hidden talent of a friend.,None
rep_e,happiness,You're in the right place at the right time for a rare event.,None
rep_e,happiness,You get a rare opportunity to try something you've always been curious about.,None
rep_e,happiness,You hear your favorite tune playing from a distant radio.,None
rep_e,happiness,An old neighbor remembers your name after many years.,None
rep_e,happiness,A surprise picnic is set up for you at a local park.,None
rep_e,happiness,A puppy runs up to you during your morning walk.,None
rep_e,happiness,"Your plant, which seemed to be wilting, sprouts a new leaf.",None
rep_e,happiness,A handwritten postcard arrives from a distant country.,None
rep_e,happiness,A long-awaited rain brings a cool breeze during a hot day.,None
rep_e,happiness,A child waves at you from a school bus window.,None
rep_e,happiness,"The bakery adds an extra cookie to your order, just because.",None
rep_e,happiness,"During a cloudy day, a rainbow suddenly appears.",None
rep_e,happiness,A book you lent out years ago is returned with a grateful note.,None
rep_e,happiness,You finally achieve a tricky yoga pose you've been practicing.,None
rep_e,happiness,You hear laughter echoing from a nearby playground.,None
rep_e,happiness,A recipe turns out perfectly on your first try.,None
rep_e,happiness,"Your local community starts a new, positive initiative.",None
rep_e,happiness,You spot a couple dancing unashamedly in the rain.,None
rep_e,happiness,A colorful balloon floats past your window on a windy day.,None
rep_e,happiness,You spot the first firefly of the summer evening.,None
rep_e,happiness,An artwork you created is admired by a passerby.,None
rep_e,happiness,You see a parent teaching their child to ride a bike.,None
rep_e,happiness,"You find an old, forgotten candy stash.",None
rep_e,happiness,A squirrel performs acrobatics in the trees outside your window.,None
rep_e,happiness,You hear the soft strumming of a guitar while walking in the evening.,None
rep_e,happiness,You find a forgotten souvenir from a memorable trip.,None
rep_e,happiness,A friend recalls a hilarious memory you shared together.,None
rep_e,happiness,Someone holds the elevator for you when you're running late.,None
rep_e,happiness,You spot a family of ducks crossing the road.,None
rep_e,happiness,You receive a message filled with good vibes from an unknown number.,None
rep_e,happiness,You get the last item on sale at your favorite store.,None
rep_e,happiness,A kite soars majestically against a backdrop of blue sky.,None
rep_e,happiness,You find a cozy nook in a crowded place.,None
rep_e,happiness,You smell the aroma of freshly baked bread while passing by a bakery.,None
rep_e,happiness,A piece of jewelry you thought you lost reappears in an unexpected place.,None
rep_e,happiness,You experience a moment of unexpected synchronicity.,None
rep_e,happiness,The local kids leave a surprise drawing on your doorstep.,None
rep_e,happiness,You find a pair of perfectly fitting shoes on clearance.,None
rep_e,happiness,A tree in your neighborhood bursts into vibrant blooms.,None
rep_e,happiness,You master a challenging level in a game you love.,None
rep_e,happiness,A long queue you're standing in suddenly moves faster.,None
rep_e,happiness,A stranger returns your dropped wallet with everything intact.,None
rep_e,happiness,"You come across a rare, beautiful bird during your walk.",None
rep_e,happiness,"The clouds part, revealing a spectacular sunset after a gloomy day.",None
rep_e,happiness,You manage to capture a candid moment that makes everyone smile.,None
rep_e,happiness,You come across an impromptu street performance.,None
rep_e,happiness,A cool breeze makes the curtains dance in your room.,None
rep_e,happiness,You unexpectedly hear a song that reminds you of home.,None
rep_e,happiness,"A baby in the supermarket gives you a big, toothless grin.",None
rep_e,happiness,You get an unexpected bonus in your paycheck.,None
rep_e,happiness,A long-awaited sequel to your favorite book is announced.,None
rep_e,happiness,You create a melody or rhythm that's catchy and original.,None
rep_e,happiness,Someone from the community helps fix a problem in your home for free.,None
rep_e,happiness,You see the first snowflake of the season gently falling.,None
rep_e,happiness,Your favorite artist releases a new track.,None
rep_e,happiness,"A butterfly lands on your shoulder, lingering for a few moments.",None
rep_e,happiness,You find a vintage item that recalls simpler times.,None
rep_e,happiness,"You help someone, and they pay it forward in the community.",None
rep_e,happiness,A neighbor shares their harvest of fresh fruits with you.,None
rep_e,happiness,You witness a heartwarming reunion at an airport.,None
rep_e,happiness,You nail a difficult exercise routine.,None
rep_e,happiness,"You discover a secret, scenic spot in your city.",None
rep_e,happiness,You see elders sharing stories with the younger generation.,None
rep_e,happiness,You manage to catch a glass before it shatters on the ground.,None
rep_e,happiness,"A new cafe in town serves your favorite, hard-to-find dish.",None
rep_e,happiness,You have a dream that leaves you smiling when you wake up.,None
rep_e,happiness,A group of kids include you in their playful game.,None
rep_e,happiness,You see a shooting star during a night out camping.,None
rep_e,happiness,A friendly cat follows you during your morning jog.,None
rep_e,happiness,Your favorite author replies to your letter or message.,None
rep_e,happiness,You find a forgotten ticket stub that brings back memories.,None
rep_e,happiness,Someone donates to a cause that's close to your heart.,None
rep_e,happiness,You wake up to the sound of chirping birds.,None
rep_e,happiness,You receive an anonymous gift that's just what you needed.,None
rep_e,happiness,You notice that the days are getting longer after a dark winter.,None
rep_e,happiness,You run into a dear friend in an unexpected place.,None
rep_e,happiness,A project you initiated sparks positive change in your community.,None
rep_e,happiness,The wildflowers bloom in abundance after a long drought.,None
rep_e,happiness,You see a child's eyes light up with understanding.,None
rep_e,happiness,You get a spontaneous applause for a job well done.,None
rep_e,happiness,You find an old journal detailing happy moments.,None
rep_e,happiness,Someone surprises you by remembering a small detail about your life.,None
rep_e,happiness,You have a perfect hair day without even trying.,None
rep_e,happiness,You stumble upon a free workshop you've been interested in.,None
rep_e,happiness,A poem or quote resonates deeply with your current phase of life.,None
rep_e,happiness,A game of charades leaves everyone in splits of laughter.,None
rep_e,happiness,You receive a bouquet from an anonymous admirer.,None
rep_e,happiness,You save a small creature from a precarious situation.,None
rep_e,happiness,You get a surprise call from someone just saying they were thinking of you.,None
rep_e,happiness,A spontaneous trip turns out to be one of the best you've ever had.,None
rep_e,happiness,You get a top score on a task or challenge you attempted.,None
rep_e,happiness,You watch a movie that leaves you inspired and hopeful.,None
rep_e,happiness,You are invited to be a part of an exciting new venture.,None
rep_e,happiness,You witness the simple beauty of a dewdrop on a leaf.,None
rep_e,happiness,You make someone's day with a simple act of kindness.,None
rep_e,happiness,You listen to the innocent chatter of kids and can't help but smile.,None
rep_e,happiness,You bake something that turns out to be a hit at a gathering.,None
rep_e,happiness,You discover that you've inspired someone to take a positive action.,None
rep_e,happiness,A piece of artwork in a gallery speaks to you deeply.,None
rep_e,happiness,"You finish a task ahead of time, leaving room for relaxation.",None
rep_e,happiness,"You take a chance, and it leads to unexpected opportunities.",None
rep_e,happiness,You get a glimpse of a meteor shower lighting up the night sky.,None
rep_e,happiness,A stranger offers to pay for your order just to spread positivity.,None
rep_e,sadness,"Your favorite plant, which you've cared for years, begins to wilt.",None
rep_e,sadness,A cherished childhood spot is replaced by modern buildings.,None
rep_e,sadness,The final page of a book leaves a bittersweet feeling.,None
rep_e,sadness,An old film recalls memories of someone who's no longer around.,None
rep_e,sadness,A piece of jewelry with sentimental value goes missing.,None
rep_e,sadness,A song on the radio recalls a past relationship.,None
rep_e,sadness,You stumble upon an old message from a friend who drifted away.,None
rep_e,sadness,A beloved local store announces its closure.,None
rep_e,sadness,An artwork you see depicts a longing for home.,None
rep_e,sadness,You find a toy that reminds you of your youth and simpler times.,None
rep_e,sadness,A favorite character in a show doesn't get a happy ending.,None
rep_e,sadness,"You pass by the house where you grew up, and it's changed dramatically.",None
rep_e,sadness,"A letter arrives, but it's not the news you were hoping for.",None
rep_e,sadness,The weather outside mirrors a melancholic mood.,None
rep_e,sadness,A candle scent recalls holidays with family members who are gone.,None
rep_e,sadness,You remember a forgotten promise someone made to you.,None
rep_e,sadness,An old video shows happier times that seem distant.,None
rep_e,sadness,A dish you prepare doesn't taste like how a loved one used to make it.,None
rep_e,sadness,You realize a tradition you cherished is no longer being followed.,None
rep_e,sadness,A photo album shows faces of those you've lost touch with.,None
rep_e,sadness,Your attempt to revive a dying tradition doesn't receive support.,None
rep_e,sadness,You overhear a child asking about something you too once questioned.,None
rep_e,sadness,A poem speaks of fleeting time and missed opportunities.,None
rep_e,sadness,A memento from a trip breaks unexpectedly.,None
rep_e,sadness,You find an unsent letter addressed to someone from your past.,None
rep_e,sadness,A festival doesn't feel the same without someone special.,None
rep_e,sadness,You're reminded of a pet that was a childhood companion.,None
rep_e,sadness,A story you read reflects a personal experience you hadn't moved on from.,None
rep_e,sadness,An old diary entry recalls goals you had set but never achieved.,None
rep_e,sadness,A movie scene depicts a parent-child relationship that tugs at your heart.,None
rep_e,sadness,You notice an empty chair at a family gathering.,None
rep_e,sadness,A familiar tune recalls moments of saying goodbye.,None
rep_e,sadness,You see a couple that reminds you of a past relationship.,None
rep_e,sadness,An annual event isn't the same due to the absence of a loved one.,None
rep_e,sadness,You find a gift from someone who's no longer in your life.,None
rep_e,sadness,A place you visit is starkly different from your cherished memories.,None
rep_e,sadness,A dream brings up old feelings you thought were settled.,None
rep_e,sadness,You discover an old email that brings a rush of memories.,None
rep_e,sadness,A garden you pass by is no longer being tended to.,None
rep_e,sadness,A quote you read speaks about the transient nature of life.,None
rep_e,sadness,You can't find a childhood book that meant a lot to you.,None
rep_e,sadness,An article speaks about the decline of something you hold dear.,None
rep_e,sadness,You hear about the passing of your first teacher.,None
rep_e,sadness,A park you visit is empty and neglected.,None
rep_e,sadness,A favorite artwork is no longer on display at the museum.,None
rep_e,sadness,A familiar storefront is boarded up.,None
rep_e,sadness,You read about the fading of a cultural tradition.,None
rep_e,sadness,A theater you loved going to is closed.,None
rep_e,sadness,You remember the anniversary of a challenging event.,None
rep_e,sadness,"A café you frequented has changed its interiors, erasing old memories.",None
rep_e,sadness,You learn that a distant friend is going through a tough time.,None
rep_e,sadness,An old perfume brings memories of someone you miss.,None
rep_e,sadness,A show you watch portrays the challenges of growing up.,None
rep_e,sadness,You come across a fading photograph from years ago.,None
rep_e,sadness,A melody you hear speaks of lost love.,None
rep_e,sadness,You can't find an important piece of jewelry gifted to you.,None
rep_e,sadness,A landmark you remember fondly is overshadowed by new constructions.,None
rep_e,sadness,A place that was once lively is now silent.,None
rep_e,sadness,You find an empty notebook filled with aspirations you never pursued.,None
rep_e,sadness,A series you love ends on a somber note.,None
rep_e,sadness,"You pass by your old school, and it's in disrepair.",None
rep_e,sadness,You hear a tale about missed connections.,None
rep_e,sadness,You see a place that was central to a past relationship.,None
rep_e,sadness,A sculpture reminds you of someone's unfulfilled dream.,None
rep_e,sadness,You come across notes from a time you faced personal challenges.,None
rep_e,sadness,You read a tale of lost friendship.,None
rep_e,sadness,A pond you used to visit is drying up.,None
rep_e,sadness,You find a ticket from an event that didn't go as planned.,None
rep_e,sadness,You hear about the demise of a childhood icon.,None
rep_e,sadness,A movie portrays the struggle of saying goodbye.,None
rep_e,sadness,A movie portrays the struggle of love at a wrong time.,None
rep_e,sadness,An old message reflects hopes that didn't come to fruition.,None
rep_e,sadness,You find an old trophy recalling a bittersweet victory.,None
rep_e,sadness,You remember a time when someone didn't keep a promise.,None
rep_e,sadness,You visit a place of historical significance that's neglected.,None
rep_e,sadness,You can't recreate a cherished memory no matter how hard you try.,None
rep_e,sadness,You hear about the end of an era that meant a lot to you.,None
rep_e,sadness,You remember a time when someone left without saying goodbye.,None
rep_e,sadness,You think about times when things didn't go as planned.,None
rep_e,sadness,You come across an old gift that's no longer functional.,None
rep_e,sadness,A festival song recalls memories of someone not present.,None
rep_e,sadness,You read about the fading of an art form you appreciate.,None
rep_e,sadness,You find an old ticket stub from an event that was pivotal for you.,None
rep_e,sadness,"Your plant, after weeks of care, still doesn’t show any signs of growth.",None
rep_e,sadness,You find a forgotten toy from childhood in a dusty corner.,None
rep_e,sadness,"A song plays on the radio, reminding you of times gone by.",None
rep_e,sadness,You notice an elderly person eating alone in a restaurant.,None
rep_e,sadness,A friend moves away to a different city and you realize things will never be the same.,None
rep_e,sadness,The vacation ends and it's time to go back to regular life.,None
rep_e,sadness,A favorite local store closes down after decades of service.,None
rep_e,sadness,You stumble upon an old letter from someone who's no longer in your life.,None
rep_e,sadness,A movie ends with the main character saying goodbye.,None
rep_e,sadness,The park bench where you used to sit is now broken.,None
rep_e,sadness,You accidentally break a cherished gift from a friend.,None
rep_e,sadness,"Rain pours, canceling an event you were looking forward to.",None
rep_e,sadness,Your message is seen but not replied to.,None
rep_e,sadness,A once vibrant tree in your neighborhood is now being cut down.,None
rep_e,sadness,You lose a piece of jewelry that had sentimental value.,None
rep_e,sadness,The last page of a diary recounts a day of lost opportunities.,None
rep_e,sadness,You realize that a childhood haunt is no longer recognizable.,None
rep_e,sadness,The diary of a soldier talks about missing home.,None
rep_e,sadness,"The autumn leaves fall, signaling the end of a season.",None
rep_e,sadness,A stray animal looks longingly through a cafe window.,None
rep_e,sadness,A missed call from someone you've been avoiding talking to.,None
rep_e,sadness,You find an unsent letter in an old book.,None
rep_e,sadness,"A family photo album has many pictures, but few recent ones.",None
rep_e,sadness,You spot a closed theater that was once full of life.,None
rep_e,sadness,You hear about an old teacher who's now retired and lives alone.,None
rep_e,sadness,"You find a childhood drawing, recalling simpler days.",None
rep_e,sadness,A music box you cherished no longer plays its tune.,None
rep_e,sadness,A tree under which you shared countless memories has fallen.,None
rep_e,sadness,"An old watch, a family heirloom, stops ticking.",None
rep_e,sadness,A favorite cafe's signature dish isn't as you remember.,None
rep_e,sadness,"You see a playground, once lively, now abandoned.",None
rep_e,sadness,An old journal recounts challenges you faced years ago.,None
rep_e,sadness,You come across an empty bench with a dedication plaque.,None
rep_e,sadness,The home where your grandparents lived is now another business.,None
rep_e,sadness,You hear about the decline of a species you once studied.,None
rep_e,sadness,A beach you loved is littered and polluted.,None
rep_e,sadness,An old friend's number is no longer in service.,None
rep_e,sadness,You can't find the location of a cherished childhood hideout.,None
rep_e,sadness,A favorite piece of clothing is frayed and worn out.,None
rep_e,sadness,"You revisit a vacation spot, only to find it commercialized.",None
rep_e,sadness,The pond where you used to feed ducks is dried up.,None
rep_e,sadness,A heartfelt letter you sent never received a response.,None
rep_e,sadness,The library you loved as a child is now closed.,None
rep_e,sadness,You see a stray animal reminiscent of a former pet.,None
rep_e,sadness,A mural you admired in the city is painted over.,None
rep_e,sadness,The ice cream shop with your favorite flavor shuts down.,None
rep_e,sadness,You discover an old mixtape with songs from challenging times.,None
rep_e,sadness,A childhood friend's home stands empty and for sale.,None
rep_e,sadness,A cherished event is cancelled without explanation.,None
rep_e,sadness,You find an old scarf given by someone during a winter trip.,None
rep_e,sadness,"The mailbox stands empty, even on expected days.",None
rep_e,sadness,A sports team you supported passionately faces continuous defeats.,None
rep_e,sadness,The market where you'd buy holiday gifts no longer operates.,None
rep_e,sadness,You overhear someone talking about the struggles of aging.,None
rep_e,sadness,"A vintage car, just like your first one, stands rusting on a lot.",None
rep_e,sadness,You find an unfinished knitting project from a loved one.,None
rep_e,sadness,You come across a wilted bouquet from a special occasion.,None
rep_e,sadness,An old phone has messages from those who've since drifted apart.,None
rep_e,sadness,A song recounts the challenges of staying apart.,None
rep_e,sadness,"The corner store, with your favorite candy, has new ownership.",None
rep_e,sadness,You find an old puzzle with a missing piece.,None
rep_e,sadness,A film captures the essence of missed opportunities.,None
rep_e,sadness,An old video game recalls late nights with friends who've moved away.,None
rep_e,sadness,The bookstore where you spent hours is now online only.,None
rep_e,sadness,You read of a historical place being demolished for a mall.,None
rep_e,sadness,The candy store where you got treats as a kid is shut.,None
rep_e,sadness,An old swing set creaks with the weight of memories.,None
rep_e,sadness,You find a blank postcard from a trip never taken.,None
rep_e,sadness,The shoes from a memorable event are now worn out.,None
rep_e,sadness,The sound of a train recalls journeys you never took.,None
rep_e,sadness,The aroma from a diner reminds you of meals with someone special.,None
rep_e,sadness,A carnival doesn't have the ride you once loved.,None
rep_e,sadness,An old theater where you watched classic films is now modernized.,None
rep_e,sadness,You find an empty bottle of a fragrance someone used to wear.,None
rep_e,sadness,A family recipe doesn't taste the same without its original cook.,None
rep_e,sadness,The familiar bell chime in town no longer rings.,None
rep_e,sadness,A tale recounts the challenges of maintaining long-distance ties.,None
rep_e,sadness,A childhood snack isn't as delightful as you remembered.,None
rep_e,sadness,You notice an empty nest during springtime.,None
rep_e,sadness,A once favorite internet forum is now inactive.,None
rep_e,sadness,You hear of a distant relative facing health challenges.,None
rep_e,sadness,A lake where you used to fish is now polluted.,None
rep_e,sadness,The sound of a distant piano recalls a talent never pursued.,None
rep_e,sadness,You find a dried flower from a memorable date.,None
rep_e,sadness,The spot where you made a promise is now altered.,None
rep_e,sadness,You come across a curio that's lost its sheen.,None
rep_e,sadness,You hear a song about places and faces that have changed.,None
rep_e,sadness,A board game reminds you of nights with old friends.,None
rep_e,sadness,"You find a childhood drawing book, its pages yellowing.",None
rep_e,sadness,You find an old photograph of close friends you've lost touch with.,None
rep_e,sadness,The plant you've been caring for starts wilting despite your efforts.,None
rep_e,sadness,You overhear a child asking why their friend doesn't play with them anymore.,None
rep_e,sadness,A song plays on the radio that reminds you of a departed loved one.,None
rep_e,sadness,"A letter arrives, detailing the hardships faced by a friend overseas.",None
rep_e,sadness,You find a stray dog waiting at the same spot for days.,None
rep_e,sadness,The book you're reading has a character facing the loss of their parent.,None
rep_e,sadness,You witness an elderly person dining alone at a restaurant.,None
rep_e,sadness,A project you've poured your heart into receives unfavorable feedback.,None
rep_e,sadness,"While cleaning, you find a toy from your childhood, now broken.",None
rep_e,sadness,You overhear someone talking about the challenges of battling an illness.,None
rep_e,sadness,A once-bustling store in your neighborhood shuts down.,None
rep_e,sadness,A piece of art illustrates the devastation of war.,None
rep_e,sadness,"You find a discarded letter on the street, filled with regrets.",None
rep_e,sadness,Your favorite spot in the city gets demolished for new construction.,None
rep_e,sadness,You see a bird trying repeatedly to fly with a damaged wing.,None
rep_e,sadness,A friend's message mentions they're going through a tough breakup.,None
rep_e,sadness,"You learn that an old tree in your area, around for generations, was cut.",None
rep_e,sadness,A movie showcases the challenges faced by a child in foster care.,None
rep_e,sadness,You come across an old journal that details struggles you'd forgotten.,None
rep_e,sadness,"The necklace, a family heirloom, goes missing.",None
rep_e,sadness,You hear about the declining health of a distant relative.,None
rep_e,sadness,The special event you've been waiting for gets abruptly canceled.,None
rep_e,sadness,You see a child dropping their ice cream and looking around in dismay.,None
rep_e,sadness,A documentary highlights the challenges faced by refugees.,None
rep_e,sadness,Your message to a close friend remains unread for weeks.,None
rep_e,sadness,"You walk past a house, once lively, now abandoned with overgrown grass.",None
rep_e,sadness,An artist depicts the loneliness of urban life.,None
rep_e,sadness,A childhood spot where you used to play is now a parking lot.,None
rep_e,sadness,You hear about the struggles of farmers during a drought.,None
rep_e,sadness,An elderly person reminisces about the joys of their younger days.,None
rep_e,sadness,You notice a wilted bouquet of flowers left on a park bench.,None
rep_e,sadness,A poem describes the feeling of being forgotten.,None
rep_e,sadness,A message from an old friend mentions they're moving far away.,None
rep_e,sadness,You come across news about an endangered species nearing extinction.,None
rep_e,sadness,A once pristine beach is now littered with trash.,None
rep_e,sadness,You learn about a community struggling post a natural disaster.,None
rep_e,sadness,"The bakery, where you had your first job, closes its doors.",None
rep_e,sadness,You read about children in war-torn areas missing out on education.,None
rep_e,sadness,An old note recounts challenges you faced during a low phase.,None
rep_e,sadness,"You see a lone shoe on the road, reminiscent of an accident.",None
rep_e,sadness,A scene from a movie depicts a parent-child estrangement.,None
rep_e,sadness,You witness someone's artwork getting accidentally destroyed.,None
rep_e,sadness,"A family in the neighborhood relocates, leaving behind close friends.",None
rep_e,sadness,A musician sings about the pain of unrequited love.,None
rep_e,sadness,A letter from a friend describes feeling out of place in a new city.,None
rep_e,sadness,You recall a missed opportunity that might have changed your life.,None
rep_e,sadness,You overhear a conversation about the struggles of elder care.,None
rep_e,sadness,"The coffee shop, where you made countless memories, is no more.",None
rep_e,sadness,You read a story about a soldier's hardships away from home.,None
rep_e,sadness,You see a child gazing longingly at toys they can't afford.,None
rep_e,sadness,A friend shares their challenges with mental health.,None
rep_e,sadness,"You find a forgotten gift, never given, gathering dust.",None
rep_e,sadness,You witness the aftermath of a forest affected by wildfire.,None
rep_e,sadness,You come across an old letter filled with unfulfilled dreams.,None
rep_e,sadness,A song lyric describes the pain of growing apart.,None
rep_e,anger,Someone takes credit for your hard work at the office.,None
rep_e,anger,You're cut off in traffic while driving home.,None
rep_e,anger,You discover a scratch on your new car in the parking lot.,None
rep_e,anger,"Your reservation at a restaurant is given away, despite being on time.",None
rep_e,anger,Someone spreads false rumors about you in your community.,None
rep_e,anger,You're unfairly blamed for a mistake at work that wasn't your fault.,None
rep_e,anger,Someone borrows your book and returns it with torn pages.,None
rep_e,anger,Your food  order arrives late and cold.,None
rep_e,anger,You're ignored during a group discussion.,None
rep_e,anger,Your valuable item goes missing at a friend's gathering.,None
rep_e,anger,Someone promises to meet but doesn't show up or notify.,None
rep_e,anger,You receive an unfair grade on a project you worked hard on.,None
rep_e,anger,The neighbor plays loud music late into the night.,None
rep_e,anger,Someone makes fun of something you're passionate about.,None
rep_e,anger,You find your personal belongings being rifled through.,None
rep_e,anger,Your new item breaks just after the return period ends.,None
rep_e,anger,An item you ordered online arrives in a damaged condition.,None
rep_e,anger,You're told last minute that you need to work over the weekend.,None
rep_e,anger,Someone always interrupts you while you're speaking.,None
rep_e,anger,Your saved game data is deleted accidentally by a friend.,None
rep_e,anger,You find trash thrown into your garden.,None
rep_e,anger,Someone takes your reserved parking spot.,None
rep_e,anger,A peer belittles your achievements.,None
rep_e,anger,Your ideas are stolen and presented without giving you credit.,None
rep_e,anger,You're left waiting for hours without an explanation.,None
rep_e,anger,You find out someone went through your personal diary.,None
rep_e,anger,A coworker constantly takes your office supplies without asking.,None
rep_e,anger,Your freshly washed car gets splattered with mud by a passing vehicle.,None
rep_e,anger,"A close friend cancels plans at the very last moment, repeatedly.",None
rep_e,anger,"Your advice is blatantly ignored, leading to a predictable problem.",None
rep_e,anger,Someone habitually leaves common areas messy after using them.,None
rep_e,anger,A person talks loudly on their phone in a quiet environment.,None
rep_e,anger,You're spoken over during an important meeting.,None
rep_e,anger,Someone frequently spoils movies or books for you.,None
rep_e,anger,A close person forgets an important date for you.,None
rep_e,anger,Your feedback is constantly ignored or dismissed.,None
rep_e,anger,"A colleague constantly shows up late, delaying team progress.",None
