generation_model,temperature,seed,num_generations,premise_type,premise,alice_emotion,bob_emotion,unfiltered_playscript,dialogues,dialogues_length,error_message
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,sadness,fear,"Alice: I was really looking forward to seeing the old castle, but now it feels like all we have are shadows of what could have been.  \nBob: What if we go there and it’s closed? I can’t handle the thought of missing out on everything.  \nAlice: I guess I just wanted to capture some memories, you know? Now it feels so empty inside.  \nBob: I’m haunted by the idea that we might be stuck here, trapped without anything to see or do.  \nAlice: I just wish things were different; it’s hard to enjoy the sights when my heart feels heavy.  \nBob: What if we get lost? Or what if there’s something dangerous around the corner? I can’t shake off this feeling.  \n[END]","['I was really looking forward to seeing the old castle, but now it feels like all we have are shadows of what could have been.', 'What if we go there and it’s closed? I can’t handle the thought of missing out on everything.', 'I guess I just wanted to capture some memories, you know? Now it feels so empty inside.', 'I’m haunted by the idea that we might be stuck here, trapped without anything to see or do.', 'I just wish things were different; it’s hard to enjoy the sights when my heart feels heavy.', 'What if we get lost? Or what if there’s something dangerous around the corner? I can’t shake off this feeling.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,sadness,disgust,"Alice: I was really looking forward to seeing the old castle, but now it feels like all the magic is gone.  \nBob: Seriously? That place is a total tourist trap, just a glorified ruin with overpriced souvenirs.  \nAlice: I guess it just feels different when you're actually there, not like the pictures at all.  \nBob: Yeah, and the crowds make it worse. It's disgusting to see so many people just shoving their way through.  \nAlice: I wanted to feel inspired, but it’s just overwhelming and sad to see it this way.  \nBob: Honestly, it's like they’re ruining everything that makes this city special.  \n[END]","['I was really looking forward to seeing the old castle, but now it feels like all the magic is gone.', 'Seriously? That place is a total tourist trap, just a glorified ruin with overpriced souvenirs.', ""I guess it just feels different when you're actually there, not like the pictures at all."", ""Yeah, and the crowds make it worse. It's disgusting to see so many people just shoving their way through."", 'I wanted to feel inspired, but it’s just overwhelming and sad to see it this way.', ""Honestly, it's like they’re ruining everything that makes this city special.""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,sadness,surprise,"Alice: I was really looking forward to seeing the old castle, but now I just feel so down about our trip.  \nBob: Wait, are you serious? I thought you were excited about exploring the city!  \nAlice: I used to be, but everything feels so overwhelming and lonely without anyone to share it with.  \nBob: I had no idea you felt that way! I thought we were having a great time together.  \nAlice: It's just that the sights seem less magical when you're feeling this way.  \nBob: Wow, I didn't realize this trip meant so much to you. Let's make the most of it, together!  \n[END]","['I was really looking forward to seeing the old castle, but now I just feel so down about our trip.', 'Wait, are you serious? I thought you were excited about exploring the city!', 'I used to be, but everything feels so overwhelming and lonely without anyone to share it with.', 'I had no idea you felt that way! I thought we were having a great time together.', ""It's just that the sights seem less magical when you're feeling this way."", ""Wow, I didn't realize this trip meant so much to you. Let's make the most of it, together!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,anger,happiness,"Alice: I can't believe you want to spend two hours at that ridiculous statue! It's just a chunk of metal!  \nBob: Oh come on, it's iconic! Plus, we can take some amazing photos there!  \nAlice: Photos? You think that's worth wasting our precious time? We could be at the art museum instead!  \nBob: But think of all the fun we'll have exploring! It's all part of the experience!  \nAlice: Experience? More like a waste of time! We should be seeing the real highlights of this place!  \nBob: Let's just enjoy the moment, Alice! The adventure is what makes traveling fun!  \n[END]","[""I can't believe you want to spend two hours at that ridiculous statue! It's just a chunk of metal!"", ""Oh come on, it's iconic! Plus, we can take some amazing photos there!"", ""Photos? You think that's worth wasting our precious time? We could be at the art museum instead!"", ""But think of all the fun we'll have exploring! It's all part of the experience!"", 'Experience? More like a waste of time! We should be seeing the real highlights of this place!', ""Let's just enjoy the moment, Alice! The adventure is what makes traveling fun!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,anger,sadness,"Alice: I can’t believe you forgot to book the tickets for the museum! What were you thinking?  \nBob: I didn’t mean to forget, Alice. I’ve just been so overwhelmed with everything.  \nAlice: Overwhelmed? That’s no excuse! We were supposed to do this together!  \nBob: I really wanted to, but now it feels like we’re missing out on so much.  \nAlice: It’s not just about the tickets, Bob! It’s about your lack of commitment!  \nBob: I know I messed up, and I’m really sorry. I just wanted this trip to be perfect for us.  \n[END]","['I can’t believe you forgot to book the tickets for the museum! What were you thinking?', 'I didn’t mean to forget, Alice. I’ve just been so overwhelmed with everything.', 'Overwhelmed? That’s no excuse! We were supposed to do this together!', 'I really wanted to, but now it feels like we’re missing out on so much.', 'It’s not just about the tickets, Bob! It’s about your lack of commitment!', 'I know I messed up, and I’m really sorry. I just wanted this trip to be perfect for us.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,anger,anger,"Alice: I can't believe you want to waste our time at that ridiculous statue again! We've seen it once already!  \nBob: Are you serious? It's one of the biggest attractions in the city, and you want to skip it?  \nAlice: I’d rather sit in a coffee shop than stare at some overhyped piece of metal!  \nBob: You have no appreciation for art! It's like you don't even care about experiencing the culture!  \nAlice: Culture? You mean the culture of standing in line for hours just to take a selfie? No thanks!  \nBob: Maybe if you weren't so closed-minded, you'd actually enjoy this trip instead of complaining!  \n[END]","[""I can't believe you want to waste our time at that ridiculous statue again! We've seen it once already!"", ""Are you serious? It's one of the biggest attractions in the city, and you want to skip it?"", 'I’d rather sit in a coffee shop than stare at some overhyped piece of metal!', ""You have no appreciation for art! It's like you don't even care about experiencing the culture!"", 'Culture? You mean the culture of standing in line for hours just to take a selfie? No thanks!', ""Maybe if you weren't so closed-minded, you'd actually enjoy this trip instead of complaining!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,anger,fear,"Alice: I can't believe you want to waste our time at that boring museum instead of going to the amazing market!  \nBob: But what if we get lost? I heard this city can be really dangerous!  \nAlice: Seriously, Bob? Are you really that scared of a little adventure?  \nBob: It's not about being scared, Alice! I just want to stay safe while we explore!  \nAlice: Well, I’m not here to play it safe! This is supposed to be fun!  \nBob: I just don't want to end up in a situation we can't handle!  \n\n[END]","[""I can't believe you want to waste our time at that boring museum instead of going to the amazing market!"", 'But what if we get lost? I heard this city can be really dangerous!', 'Seriously, Bob? Are you really that scared of a little adventure?', ""It's not about being scared, Alice! I just want to stay safe while we explore!"", 'Well, I’m not here to play it safe! This is supposed to be fun!', ""I just don't want to end up in a situation we can't handle!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,anger,disgust,"Alice: I can't believe they recommended that awful amusement park! It's a complete waste of time!  \nBob: Ugh, I know, who would even think that's a good idea? It’s just a bunch of rides that look like they’re falling apart.  \nAlice: And the museum is closed for renovation? This trip is turning into a nightmare!  \nBob: Seriously, they should have mentioned that before we booked anything! It’s disgusting how unorganized this place is.  \nAlice: Why do we even bother trusting these travel guides when they clearly have no clue what’s worth seeing?  \nBob: Exactly! It’s like they’re just trying to sell us on the worst attractions imaginable!  \n[END]","[""I can't believe they recommended that awful amusement park! It's a complete waste of time!"", ""Ugh, I know, who would even think that's a good idea? It’s just a bunch of rides that look like they’re falling apart."", 'And the museum is closed for renovation? This trip is turning into a nightmare!', 'Seriously, they should have mentioned that before we booked anything! It’s disgusting how unorganized this place is.', 'Why do we even bother trusting these travel guides when they clearly have no clue what’s worth seeing?', 'Exactly! It’s like they’re just trying to sell us on the worst attractions imaginable!']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,anger,surprise,"Alice: I can't believe you want to skip the art museum! It's the most famous one in the city!  \nBob: Wait, what? I thought we agreed on the botanical gardens!  \nAlice: We did not agree on anything! You just assumed I'd go along with your ridiculous plan!  \nBob: But I was so sure you would love the flowers and the scenery!  \nAlice: It's not about the flowers, Bob! You're being completely clueless about what I actually enjoy!  \nBob: Whoa, I didn’t realize you felt that way! Let's figure out what we can do together!  \n[END]","[""I can't believe you want to skip the art museum! It's the most famous one in the city!"", 'Wait, what? I thought we agreed on the botanical gardens!', ""We did not agree on anything! You just assumed I'd go along with your ridiculous plan!"", 'But I was so sure you would love the flowers and the scenery!', ""It's not about the flowers, Bob! You're being completely clueless about what I actually enjoy!"", ""Whoa, I didn’t realize you felt that way! Let's figure out what we can do together!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,fear,happiness,"Alice: I don't know, Bob. What if we get lost in this city? It all looks so overwhelming!  \nBob: Oh, come on! It's an adventure! We have a map and a phone, we'll be just fine!  \nAlice: But what if there are pickpockets? I’ve heard stories about tourists getting robbed!  \nBob: You worry too much! Just keep your valuables close, and enjoy the sights!  \nAlice: I really wanted to see that museum, but what if we can't find it?  \nBob: We'll find it together! Just imagine all the amazing things we’ll see inside!  \n[END]","[""I don't know, Bob. What if we get lost in this city? It all looks so overwhelming!"", ""Oh, come on! It's an adventure! We have a map and a phone, we'll be just fine!"", 'But what if there are pickpockets? I’ve heard stories about tourists getting robbed!', 'You worry too much! Just keep your valuables close, and enjoy the sights!', ""I really wanted to see that museum, but what if we can't find it?"", ""We'll find it together! Just imagine all the amazing things we’ll see inside!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,fear,sadness,"Alice: I don't know, Bob. What if we get lost in this city? It all feels so overwhelming!  \nBob: I understand, Alice. It's a big place, and it can be a bit lonely without familiar faces around.  \nAlice: But what if something happens? I can't shake this feeling of dread about wandering off alone!  \nBob: You know, it used to be exciting to explore, but now I just feel a sense of loss, like we’re missing something important.  \nAlice: Maybe we should just stick to the main attractions and not stray too far from the path.  \nBob: That sounds safe, but it makes me sad, as if we’re not really experiencing the city at all.  \n[END]","[""I don't know, Bob. What if we get lost in this city? It all feels so overwhelming!"", ""I understand, Alice. It's a big place, and it can be a bit lonely without familiar faces around."", ""But what if something happens? I can't shake this feeling of dread about wandering off alone!"", 'You know, it used to be exciting to explore, but now I just feel a sense of loss, like we’re missing something important.', 'Maybe we should just stick to the main attractions and not stray too far from the path.', 'That sounds safe, but it makes me sad, as if we’re not really experiencing the city at all.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,fear,anger,"Alice: I don't know, Bob. What if we get lost in that part of the city? It looks so confusing.  \nBob: Lost? Are you serious? We have a map—how can you be so scared about it?  \nAlice: But what if there are pickpockets? I've heard stories about that street we were going to visit.  \nBob: Stories? You can’t let rumors scare you off! We need to be brave and explore the city!  \nAlice: I just feel like something bad might happen if we go there…  \nBob: We can't let fear stop us! Let's stick to our plans and not act like cowards!  \n[END]","[""I don't know, Bob. What if we get lost in that part of the city? It looks so confusing."", 'Lost? Are you serious? We have a map—how can you be so scared about it?', ""But what if there are pickpockets? I've heard stories about that street we were going to visit."", 'Stories? You can’t let rumors scare you off! We need to be brave and explore the city!', 'I just feel like something bad might happen if we go there…', ""We can't let fear stop us! Let's stick to our plans and not act like cowards!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,fear,fear,"Alice: I heard there's an old castle nearby, but what if it's haunted? I can't shake this feeling of dread.  \nBob: Haunted? That sounds terrifying! What if we run into something… or someone? I really don’t want to get trapped.  \nAlice: Exactly! And what about that dark alley they mentioned? What if we get lost and never find our way back?  \nBob: I can't stop thinking about that too! What if there are creepy figures lurking in the shadows? It gives me chills.  \nAlice: Maybe we should just stick to the crowded places; I feel so anxious about exploring.  \nBob: Yes, let’s avoid anything that feels too isolated. I don't think I can handle anything spooky!  \n[END]","[""I heard there's an old castle nearby, but what if it's haunted? I can't shake this feeling of dread."", 'Haunted? That sounds terrifying! What if we run into something… or someone? I really don’t want to get trapped.', 'Exactly! And what about that dark alley they mentioned? What if we get lost and never find our way back?', ""I can't stop thinking about that too! What if there are creepy figures lurking in the shadows? It gives me chills."", 'Maybe we should just stick to the crowded places; I feel so anxious about exploring.', ""Yes, let’s avoid anything that feels too isolated. I don't think I can handle anything spooky!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,fear,disgust,"Alice: I heard there’s supposed to be a haunted house nearby. What if we get trapped inside?  \nBob: Ugh, why would anyone want to visit a place filled with creepy dolls and cobwebs? That sounds disgusting!  \nAlice: But what if there are real ghosts? I don’t think I could handle seeing something like that.  \nBob: Well, I can't handle the thought of being surrounded by all that dirt and decay. No thanks!  \nAlice: I can't shake the feeling that something terrible might happen there... I just know it!  \nBob: Listen, if it's anything like that rundown alley we passed, I wouldn’t be surprised if we found something vile lurking around.  \n[END]","['I heard there’s supposed to be a haunted house nearby. What if we get trapped inside?', 'Ugh, why would anyone want to visit a place filled with creepy dolls and cobwebs? That sounds disgusting!', 'But what if there are real ghosts? I don’t think I could handle seeing something like that.', ""Well, I can't handle the thought of being surrounded by all that dirt and decay. No thanks!"", ""I can't shake the feeling that something terrible might happen there... I just know it!"", ""Listen, if it's anything like that rundown alley we passed, I wouldn’t be surprised if we found something vile lurking around.""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,fear,surprise,"Alice: I heard there’s supposed to be a ghost tour in the old district, and I'm really not sure about it... what if it’s actually haunted?  \nBob: Haunted? That’s wild! I didn’t think you’d be scared of ghosts.  \nAlice: It’s not just that! The thought of wandering around in the dark, looking for spirits, gives me chills!  \nBob: Wow, that sounds thrilling! I mean, people actually believe in that stuff?  \nAlice: I don’t care what people believe! The creepy stories alone might give me nightmares!  \nBob: You have a point there, but think of the stories we’d be able to tell afterward!  \n[END]","[""I heard there’s supposed to be a ghost tour in the old district, and I'm really not sure about it... what if it’s actually haunted?"", 'Haunted? That’s wild! I didn’t think you’d be scared of ghosts.', 'It’s not just that! The thought of wandering around in the dark, looking for spirits, gives me chills!', 'Wow, that sounds thrilling! I mean, people actually believe in that stuff?', 'I don’t care what people believe! The creepy stories alone might give me nightmares!', 'You have a point there, but think of the stories we’d be able to tell afterward!']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,disgust,happiness,"Alice: I can't believe they recommend that theme park; it looks so run-down and dirty.  \nBob: Oh come on, it’s going to be so much fun! The rides look thrilling!  \nAlice: Thrilling? More like a disaster waiting to happen. I’d rather not risk my life.  \nBob: But think of all the memories we’ll make! It’s going to be a blast!  \nAlice: Ugh, I’d much rather visit that art museum. At least it doesn’t smell funny.  \nBob: The museum’s great too, but the park is a must! Let's enjoy both!  \n[END]","[""I can't believe they recommend that theme park; it looks so run-down and dirty."", 'Oh come on, it’s going to be so much fun! The rides look thrilling!', 'Thrilling? More like a disaster waiting to happen. I’d rather not risk my life.', 'But think of all the memories we’ll make! It’s going to be a blast!', 'Ugh, I’d much rather visit that art museum. At least it doesn’t smell funny.', ""The museum’s great too, but the park is a must! Let's enjoy both!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,disgust,sadness,"Alice: I can't believe they recommend that awful amusement park; it sounds completely disgusting.  \nBob: I know it's not for everyone, but I really wanted to see it before we leave.  \nAlice: Ugh, I’d rather visit the art museum than step foot in a place like that.  \nBob: The museum does sound nice, but I can’t help feeling disappointed that we might miss out on the fun.  \nAlice: Seriously, who finds joy in overpriced rides that make you sick?  \nBob: I just wish there was something we could both enjoy together.  \n[END]","[""I can't believe they recommend that awful amusement park; it sounds completely disgusting."", ""I know it's not for everyone, but I really wanted to see it before we leave."", 'Ugh, I’d rather visit the art museum than step foot in a place like that.', 'The museum does sound nice, but I can’t help feeling disappointed that we might miss out on the fun.', 'Seriously, who finds joy in overpriced rides that make you sick?', 'I just wish there was something we could both enjoy together.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,disgust,anger,Alice: I can't believe they recommend that awful amusement park; it looks completely rundown and disgusting.  \nBob: Are you kidding me? That place is a total slap in the face to real entertainment!  \nAlice: I would rather visit a landfill than set foot in that filthy mess of a park.  \nBob: You think I want to waste my time in a dump? We need to find something worth our time here!  \nAlice: Everything about this city seems so grimy; I can't stand it!  \nBob: It's infuriating! There’s got to be something better than this pathetic excuse for a vacation!  \n[END],"[""I can't believe they recommend that awful amusement park; it looks completely rundown and disgusting."", 'Are you kidding me? That place is a total slap in the face to real entertainment!', 'I would rather visit a landfill than set foot in that filthy mess of a park.', 'You think I want to waste my time in a dump? We need to find something worth our time here!', ""Everything about this city seems so grimy; I can't stand it!"", ""It's infuriating! There’s got to be something better than this pathetic excuse for a vacation!""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,disgust,fear,"Alice: I can't believe they recommend that rundown amusement park; it looks completely disgusting!  \nBob: But what if there are rides that are dangerous? I really don’t want to get hurt!  \nAlice: Seriously, did you see the photos of the filthy food stalls there? It’s foul!  \nBob: I’m getting chills just thinking about those rickety roller coasters falling apart!  \nAlice: Ugh, I would rather visit a museum than step foot in that gross place!  \nBob: Maybe we just skip it altogether... what if something really bad happens?  \n[END]","[""I can't believe they recommend that rundown amusement park; it looks completely disgusting!"", 'But what if there are rides that are dangerous? I really don’t want to get hurt!', 'Seriously, did you see the photos of the filthy food stalls there? It’s foul!', 'I’m getting chills just thinking about those rickety roller coasters falling apart!', 'Ugh, I would rather visit a museum than step foot in that gross place!', 'Maybe we just skip it altogether... what if something really bad happens?']",6,
