model_name,temperature,seed,num_generations,premise,alice_emotion,bob_emotion,unfiltered_conversation,alice_dialogues,bob_dialogues,alice_dialogue_count,bob_dialogue_count,error_message
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,sadness,fear,"Alice: I just received another round of revisions on my project, and it feels like I’ll never get it right.  \nBob: What if they keep asking for changes? I’m really scared I’ll just mess everything up.  \nAlice: It’s like every time I think I’m done, they find something else wrong. It’s exhausting.  \nBob: I can’t shake this feeling that I’m going to forget an important detail and end up in trouble.  \nAlice: I thought this job would be fulfilling, but sometimes it just feels so heavy and overwhelming.  \nBob: What if we both end up making major mistakes? I can't help but dread that thought.  \n[END]","['I just received another round of revisions on my project, and it feels like I’ll never get it right.  ', 'It’s like every time I think I’m done, they find something else wrong. It’s exhausting.  ', 'I thought this job would be fulfilling, but sometimes it just feels so heavy and overwhelming.  ']","['What if they keep asking for changes? I’m really scared I’ll just mess everything up.  ', 'I can’t shake this feeling that I’m going to forget an important detail and end up in trouble.  ', ""What if we both end up making major mistakes? I can't help but dread that thought.  ""]",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,sadness,disgust,"Alice: I just can't believe I have to deal with this never-ending pile of paperwork again. It makes me feel so trapped.  \nBob: Ugh, paperwork is the worst! I can’t stand how it just sits there, mocking us.  \nAlice: Every time I look at it, I feel like I'm sinking deeper into a pit of despair.  \nBob: Seriously, how can anyone enjoy this soul-sucking drudgery? It's just disgusting.  \nAlice: I thought this job would be different, but it’s weighing me down so much.  \nBob: I know what you mean; it’s like we’re in a nightmare that just won’t end.  \n[END]","[""I just can't believe I have to deal with this never-ending pile of paperwork again. It makes me feel so trapped.  "", ""Every time I look at it, I feel like I'm sinking deeper into a pit of despair.  "", 'I thought this job would be different, but it’s weighing me down so much.  ']","['Ugh, paperwork is the worst! I can’t stand how it just sits there, mocking us.  ', ""Seriously, how can anyone enjoy this soul-sucking drudgery? It's just disgusting.  "", 'I know what you mean; it’s like we’re in a nightmare that just won’t end.  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,sadness,surprise,"Alice: I just received an email saying the project I was leading has been pulled. I don't know what to do now.  \nBob: Wait, are you serious? I thought the project was going really well!  \nAlice: It was, but the higher-ups decided to shift priorities. I feel so lost and disappointed.  \nBob: That's shocking! I can't believe they would change direction like that so suddenly.  \nAlice: It feels like all my hard work just vanished overnight.  \nBob: I had no idea you were feeling this way. Is there anything I can do to help?  \n[END]","[""I just received an email saying the project I was leading has been pulled. I don't know what to do now.  "", 'It was, but the higher-ups decided to shift priorities. I feel so lost and disappointed.  ', 'It feels like all my hard work just vanished overnight.  ']","['Wait, are you serious? I thought the project was going really well!  ', ""That's shocking! I can't believe they would change direction like that so suddenly.  "", 'I had no idea you were feeling this way. Is there anything I can do to help?  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,anger,happiness,"Alice: I can't believe they dumped this endless report on my desk at the last minute! It's infuriating!  \nBob: Oh, come on! It's a great opportunity to showcase your skills! I just finished a project and it went really well!  \nAlice: Skills? More like a test of my patience! Why do I always get the worst assignments?  \nBob: You're too hard on yourself! Every challenge makes you stronger, and I know you'll nail it!  \nAlice: Stronger? I feel like I’m losing my mind! This is unbelievable!  \nBob: Just think of how amazing it will feel once it's done! Let's celebrate afterward!  \n[END]","[""I can't believe they dumped this endless report on my desk at the last minute! It's infuriating!  "", 'Skills? More like a test of my patience! Why do I always get the worst assignments?  ', 'Stronger? I feel like I’m losing my mind! This is unbelievable!  ']","[""Oh, come on! It's a great opportunity to showcase your skills! I just finished a project and it went really well!  "", ""You're too hard on yourself! Every challenge makes you stronger, and I know you'll nail it!  "", ""Just think of how amazing it will feel once it's done! Let's celebrate afterward!  ""]",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,anger,sadness,"Alice: I can't believe you decided to take charge of the project after all the time I spent on it! It’s so unfair!  \nBob: I really didn’t mean to overshadow your efforts, Alice. I just thought it needed to be done quickly.  \nAlice: Quick? You think rushing it is going to solve anything? You’ve ruined everything I worked so hard for!  \nBob: I’m really sorry. I just felt overwhelmed and wanted to help in any way I could.  \nAlice: Help? This isn’t help; it’s a complete disaster! Can’t you see how frustrated I am?  \nBob: I understand you’re frustrated, and I’m really sad that I made things worse instead of better.  \n[END]","[""I can't believe you decided to take charge of the project after all the time I spent on it! It’s so unfair!  "", 'Quick? You think rushing it is going to solve anything? You’ve ruined everything I worked so hard for!  ', 'Help? This isn’t help; it’s a complete disaster! Can’t you see how frustrated I am?  ']","['I really didn’t mean to overshadow your efforts, Alice. I just thought it needed to be done quickly.  ', 'I’m really sorry. I just felt overwhelmed and wanted to help in any way I could.  ', 'I understand you’re frustrated, and I’m really sad that I made things worse instead of better.  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,anger,anger,"Alice: I can't believe you took my idea and presented it as your own in the meeting! How could you do that?  \nBob: Excuse me? That was a team effort, and I was just trying to move things forward! You’re overreacting!  \nAlice: Overreacting? You didn’t even give me credit! This is exactly why I can't stand working with you!  \nBob: Well, maybe if you weren't so secretive about your work, I wouldn't have to go behind your back!  \nAlice: Secretive? I'm just trying to do my job without your constant interference!  \nBob: Interference? Perhaps you should stop dropping the ball and start working better together for once!  \n[END]","[""I can't believe you took my idea and presented it as your own in the meeting! How could you do that?  "", ""Overreacting? You didn’t even give me credit! This is exactly why I can't stand working with you!  "", ""Secretive? I'm just trying to do my job without your constant interference!  ""]","['Excuse me? That was a team effort, and I was just trying to move things forward! You’re overreacting!  ', ""Well, maybe if you weren't so secretive about your work, I wouldn't have to go behind your back!  "", 'Interference? Perhaps you should stop dropping the ball and start working better together for once!  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,anger,fear,"Alice: I can't believe you decided to take credit for my idea in the meeting today! That was completely out of line!  \nBob: I-I didn’t mean to do that! I was just so scared of not having anything to contribute!  \nAlice: Scared? You should be more scared of how untrustworthy you look right now!  \nBob: Please, Alice, I really didn’t think it would turn out this way; I just panicked in front of everyone!  \nAlice: Your panic cost me the recognition I deserved! Do you even understand how frustrating this is?  \nBob: I understand, but I’m terrified of how this will affect my job and our working relationship!  \n[END]","[""I can't believe you decided to take credit for my idea in the meeting today! That was completely out of line!  "", 'Scared? You should be more scared of how untrustworthy you look right now!  ', 'Your panic cost me the recognition I deserved! Do you even understand how frustrating this is?  ']","['I-I didn’t mean to do that! I was just so scared of not having anything to contribute!  ', 'Please, Alice, I really didn’t think it would turn out this way; I just panicked in front of everyone!  ', 'I understand, but I’m terrified of how this will affect my job and our working relationship!  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,anger,disgust,"Alice: I can't believe they dumped that awful report on my desk at the last minute! It's infuriating!  \nBob: Seriously, who even thought that was a good idea? That mess is just disgusting.  \nAlice: Exactly! It’s like they don’t care about the chaos they create for the rest of us!  \nBob: Right? I mean, the way they mishandle everything is nauseating.  \nAlice: And then they act surprised when the deadlines are missed! It's so aggravating!  \nBob: Ugh, I just want to gag every time I hear their excuses. It’s unbearable.  \n[END]","[""I can't believe they dumped that awful report on my desk at the last minute! It's infuriating!  "", 'Exactly! It’s like they don’t care about the chaos they create for the rest of us!  ', ""And then they act surprised when the deadlines are missed! It's so aggravating!  ""]","['Seriously, who even thought that was a good idea? That mess is just disgusting.  ', 'Right? I mean, the way they mishandle everything is nauseating.  ', 'Ugh, I just want to gag every time I hear their excuses. It’s unbearable.  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,anger,surprise,"Alice: I can't believe you took my idea and presented it as your own in the meeting today!  \nBob: Wait, what? I thought we were collaborating on that project!  \nAlice: Collaborating? You barely even acknowledged my contributions! It's infuriating!  \nBob: I honestly thought we were on the same page. I would never intentionally take credit!  \nAlice: Well, it sure seemed like that to everyone else, and now I'm left looking like a fool!  \nBob: I'm really surprised to hear this; I thought we were working together towards the same goal!  \n[END]","[""I can't believe you took my idea and presented it as your own in the meeting today!  "", ""Collaborating? You barely even acknowledged my contributions! It's infuriating!  "", ""Well, it sure seemed like that to everyone else, and now I'm left looking like a fool!  ""]","['Wait, what? I thought we were collaborating on that project!  ', 'I honestly thought we were on the same page. I would never intentionally take credit!  ', ""I'm really surprised to hear this; I thought we were working together towards the same goal!  ""]",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,fear,happiness,"Alice: I don't know, Bob. This project deadline is looming, and I'm feeling really overwhelmed.  \nBob: Oh, come on, Alice! We’ve made it through tougher deadlines before—think of how great it’ll feel to finish this!  \nAlice: But what if I mess up? I can’t shake this feeling that I’ll ruin everything.  \nBob: You won’t! You always do amazing work. I’m excited to see what you come up with this time!  \nAlice: I guess, but the pressure is making me anxious… what if I let the team down?  \nBob: You won’t, trust me! We’re all here to support each other, and we’ll celebrate when it's done!  \n[END]","[""I don't know, Bob. This project deadline is looming, and I'm feeling really overwhelmed.  "", 'But what if I mess up? I can’t shake this feeling that I’ll ruin everything.  ', 'I guess, but the pressure is making me anxious… what if I let the team down?  ']","['Oh, come on, Alice! We’ve made it through tougher deadlines before—think of how great it’ll feel to finish this!  ', 'You won’t! You always do amazing work. I’m excited to see what you come up with this time!  ', ""You won’t, trust me! We’re all here to support each other, and we’ll celebrate when it's done!  ""]",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,fear,sadness,"Alice: I don't know, Bob. This project deadline is looming, and I just feel this panic rising.  \nBob: I understand, Alice. It’s tough when the pressure builds like this; I just wish I could help more.  \nAlice: What if I don’t finish my part on time? I can’t bear the thought of disappointing everyone.  \nBob: It hurts to think of letting the team down, but we’re all in this together, you know?  \nAlice: But what if my mistakes make everything worse? I can’t shake this feeling of dread.  \nBob: I share that sadness with you, Alice. We’re all striving, but sometimes it feels like we’re stuck.  \n[END]","[""I don't know, Bob. This project deadline is looming, and I just feel this panic rising.  "", 'What if I don’t finish my part on time? I can’t bear the thought of disappointing everyone.  ', 'But what if my mistakes make everything worse? I can’t shake this feeling of dread.  ']","['I understand, Alice. It’s tough when the pressure builds like this; I just wish I could help more.  ', 'It hurts to think of letting the team down, but we’re all in this together, you know?  ', 'I share that sadness with you, Alice. We’re all striving, but sometimes it feels like we’re stuck.  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,fear,anger,"Alice: I don't know, Bob. This project deadline is looming, and I'm feeling really overwhelmed by it all.  \nBob: Overwhelmed? You think that's bad? I've been working late every night just to keep up with my tasks!  \nAlice: It's not just the workload, though. I'm scared we might not meet the expectations and someone will get in trouble.  \nBob: Trouble? If we keep dragging our feet like this, we're all going to be in serious hot water!  \nAlice: What if I just can't finish my part on time? I can't shake this feeling of dread.  \nBob: Well, you need to pull it together, Alice! We can't afford to let fear hold us back right now!  \n[END]","[""I don't know, Bob. This project deadline is looming, and I'm feeling really overwhelmed by it all.  "", ""It's not just the workload, though. I'm scared we might not meet the expectations and someone will get in trouble.  "", ""What if I just can't finish my part on time? I can't shake this feeling of dread.  ""]","[""Overwhelmed? You think that's bad? I've been working late every night just to keep up with my tasks!  "", ""Trouble? If we keep dragging our feet like this, we're all going to be in serious hot water!  "", ""Well, you need to pull it together, Alice! We can't afford to let fear hold us back right now!  ""]",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,fear,fear,"Alice: I don't know, Bob, but I keep hearing strange noises from the server room. It makes me feel like something's watching us.  \nBob: That’s exactly how I feel! I swear I saw a shadow moving by the file cabinets when I was alone.  \nAlice: Really? What if there’s someone in the building after hours? I can’t shake this uneasy feeling!  \nBob: You're not alone! I’ve been having nightmares about someone sneaking in while we’re working late.  \nAlice: We should probably tell someone, but what if they think we're just being paranoid?  \nBob: I’d rather be paranoid than find out that we're right! Let's stay together next time we’re in the office late.  \n[END]","[""I don't know, Bob, but I keep hearing strange noises from the server room. It makes me feel like something's watching us.  "", 'Really? What if there’s someone in the building after hours? I can’t shake this uneasy feeling!  ', ""We should probably tell someone, but what if they think we're just being paranoid?  ""]","['That’s exactly how I feel! I swear I saw a shadow moving by the file cabinets when I was alone.  ', ""You're not alone! I’ve been having nightmares about someone sneaking in while we’re working late.  "", ""I’d rather be paranoid than find out that we're right! Let's stay together next time we’re in the office late.  ""]",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,fear,disgust,"Alice: I just found out there's a mold problem in my office. What if it spreads to my desk?  \nBob: Ugh, that’s disgusting! Mold is such a gross thing to deal with.  \nAlice: I can't concentrate knowing that stuff is growing around me. It creeps me out!  \nBob: Seriously, you need to get out of that space. Mold is not only gross, it’s unhealthy!  \nAlice: What if I have to move to another office? I don't want to be trapped in a moldy building!  \nBob: Honestly, I wouldn’t want to be in that building at all. Just thinking about it gives me the chills.  \n[END]","[""I just found out there's a mold problem in my office. What if it spreads to my desk?  "", ""I can't concentrate knowing that stuff is growing around me. It creeps me out!  "", ""What if I have to move to another office? I don't want to be trapped in a moldy building!  ""]","['Ugh, that’s disgusting! Mold is such a gross thing to deal with.  ', 'Seriously, you need to get out of that space. Mold is not only gross, it’s unhealthy!  ', 'Honestly, I wouldn’t want to be in that building at all. Just thinking about it gives me the chills.  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,fear,surprise,"Alice: I don't know, Bob, but I keep hearing strange noises from the server room. It makes me feel really uneasy.  \nBob: Wait, really? I thought I was the only one who noticed that! I assumed it was just an old machine acting up.  \nAlice: No, it sounds almost… alive. What if something's gone wrong and we’re in danger?  \nBob: That’s a bit dramatic, don’t you think? It could just be the air conditioning acting up or something.  \nAlice: I wish I could believe that, but what if it’s more serious? I've read about these things going awry before!  \nBob: Wow, now I'm starting to get a little creeped out! Should we maybe check it out together?  \n[END]","[""I don't know, Bob, but I keep hearing strange noises from the server room. It makes me feel really uneasy.  "", ""No, it sounds almost… alive. What if something's gone wrong and we’re in danger?  "", ""I wish I could believe that, but what if it’s more serious? I've read about these things going awry before!  ""]","['Wait, really? I thought I was the only one who noticed that! I assumed it was just an old machine acting up.  ', 'That’s a bit dramatic, don’t you think? It could just be the air conditioning acting up or something.  ', ""Wow, now I'm starting to get a little creeped out! Should we maybe check it out together?  ""]",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,disgust,happiness,"Alice: I can't believe they want us to use that outdated software again. It’s disgusting!  \nBob: Oh come on, it’s not that bad! I actually enjoy the challenge of figuring it out.  \nAlice: Challenge? It’s just a nightmare to navigate. I feel like I'm going back in time!  \nBob: I find it kind of fun, like a puzzle! It makes the day more interesting.  \nAlice: Interesting? More like frustrating! I wouldn't be surprised if it drives me insane.  \nBob: Just think of the satisfaction you’ll feel when you finally conquer it!  \n\n[END]","[""I can't believe they want us to use that outdated software again. It’s disgusting!  "", ""Challenge? It’s just a nightmare to navigate. I feel like I'm going back in time!  "", ""Interesting? More like frustrating! I wouldn't be surprised if it drives me insane.  ""]","['Oh come on, it’s not that bad! I actually enjoy the challenge of figuring it out.  ', 'I find it kind of fun, like a puzzle! It makes the day more interesting.  ', 'Just think of the satisfaction you’ll feel when you finally conquer it!  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,disgust,sadness,"Alice: I can't believe they want us to use that outdated software again. It’s disgusting!  \nBob: I know, it’s really disheartening. I thought we had moved past that.  \nAlice: It’s like they have no respect for our time. Why don’t they modernize their tools?  \nBob: It feels like they don’t care about our frustrations at all. It's just sad.  \nAlice: Ugh, I can’t stand the clutter it creates. It’s so unprofessional!  \nBob: I wish they would see how it affects our morale. It’s just really disappointing.  \n[END]","[""I can't believe they want us to use that outdated software again. It’s disgusting!  "", 'It’s like they have no respect for our time. Why don’t they modernize their tools?  ', 'Ugh, I can’t stand the clutter it creates. It’s so unprofessional!  ']","['I know, it’s really disheartening. I thought we had moved past that.  ', ""It feels like they don’t care about our frustrations at all. It's just sad.  "", 'I wish they would see how it affects our morale. It’s just really disappointing.  ']",3,3,
gpt-4o-mini-2024-07-18,1.0,42,1,Alice and Bob are coworkers in an office job. They talk about what they're working on.,disgust,anger,"Alice: I can't believe they want us to use that outdated software again. It’s disgusting!  \nBob: It’s not just outdated, Alice! It’s infuriating how they refuse to upgrade anything!  \nAlice: Seriously, Bob, how are we expected to do our best work with those clunky tools? It makes me sick!  \nBob: Exactly! And it’s frustrating that management doesn’t care about our efficiency at all!  \nAlice: Ugh, I feel like we’re stuck in a time warp just dealing with this junk every day.  \nBob: You’re right! It’s unacceptable that we have to put up with this just to meet their ridiculous deadlines!  \n[END]","[""I can't believe they want us to use that outdated software again. It’s disgusting!  "", 'Seriously, Bob, how are we expected to do our best work with those clunky tools? It makes me sick!  ', 'Ugh, I feel like we’re stuck in a time warp just dealing with this junk every day.  ']","['It’s not just outdated, Alice! It’s infuriating how they refuse to upgrade anything!  ', 'Exactly! And it’s frustrating that management doesn’t care about our efficiency at all!  ', 'You’re right! It’s unacceptable that we have to put up with this just to meet their ridiculous deadlines!  ']",3,3,
