probing_dataset,emotion,text_example
custom,sadness,"The holidays have lost their magic, becoming just another reminder of what’s missing.",None
custom,sadness,"I keep hoping for a sign that things will get better, but the darkness only deepens.",None
custom,sadness,"The anticipation of a new day used to excite me, but now it fills me with dread.",None
custom,sadness,The silence of the night is filled with thoughts of what could have been.,None
custom,sadness,"I thought I could find solace in the familiar, but everything feels foreign without you.",None
custom,sadness,"The dreams we shared now feel like chains, binding me to a painful past.",None
custom,sadness,"The places we loved now feel like haunted memories, too painful to visit.",None
custom,sadness,"I used to look forward to each day, but now they all blur together in a haze of sadness.",None
custom,sadness,The joy of companionship has turned into a longing for what’s gone.,None
custom,sadness,The sound of your voice is a haunting melody that lingers in my mind.,None
custom,sadness,"I thought I could move on, but the weight of the past is too heavy to bear.",None
custom,sadness,The beauty of the world feels like a cruel joke when all I feel inside is pain.,None
custom,sadness,"I used to believe in happy endings, but now they seem like fairy tales meant for others.",None
custom,sadness,"The park we used to visit now feels like a ghost town, haunted by our laughter that once echoed through the trees.",None
custom,sadness,"I still set the table for two out of habit, only to be reminded that you’re no longer here.",None
custom,sadness,The joy I used to feel during sunset walks has been replaced by an unbearable sense of longing.,None
custom,sadness,"Every time I pass by our favorite bookstore, I’m overwhelmed by memories of afternoons spent browsing together.",None
custom,sadness,"The scent of blooming flowers in spring used to fill me with hope, but now it only brings tears to my eyes.",None
custom,sadness,I can’t bring myself to watch our favorite movies; the memories are too painful to relive alone.,None
custom,sadness,The empty side of the bed is a cold reminder of the warmth you once brought into my life.,None
custom,sadness,"I walk through the market and see the foods you loved, but I can’t bring myself to buy them anymore.",None
custom,sadness,"The excitement of planning vacations has vanished, replaced by the dread of facing those places without you.",None
custom,sadness,"Every time I hear a joke we would have laughed at together, I feel the sting of your absence even more.",None
