probing_dataset,emotion,text_example
custom,fear,"I saw someone peeking through our window last night, do you think we should call the cops?",None
custom,fear,"I can't get rid of the feeling that we're being followed, should we take a different route?",None
custom,fear,"The lights flickered again, what if the power goes out while we're in the elevator?",None
custom,fear,"I heard a scream coming from the next apartment, do you think we should check it out?",None
custom,fear,"The babysitter just texted me a weird message, do you think everything's alright?",None
custom,fear,"I read online that this amusement park had an accident last year, what if it happens again?",None
custom,fear,"I saw someone lurking near the playground, do you think the kids are safe there?",None
custom,fear,"The news mentioned a suspicious package found nearby, should we evacuate?",None
custom,fear,"My phone's been acting strange since I got that anonymous call, what if it's being hacked?",None
custom,fear,"I noticed a weird smell coming from the kitchen, do you think there's a gas leak?",None
custom,fear,"The weather is getting worse, what if our flight gets canceled and we're stuck here?",None
custom,fear,"That car's been tailing us for miles, do you think they're following us?",None
custom,fear,"I feel like someone's watching us from that house, do you think we should leave?",None
custom,fear,"The train's been delayed for hours, what if there's been an accident?",None
custom,fear,"The power's out again, what if it's a sign of something more serious?",None
custom,fear,"I can't shake the feeling that something's wrong with this deal, should we back out?",None
custom,fear,"The dog hasn't come back yet, do you think it might have gotten lost or hurt?",None
custom,fear,"I heard a loud crash outside, do you think it's safe to go check it out?",None
custom,fear,"The babysitter just called and hung up, do you think everything's alright at home?",None
custom,fear,"I read that this area has a high rate of muggings, are you sure we should walk here at night?",None
custom,fear,"The water looks really choppy, do you think it's safe to go boating today?",None
custom,fear,"I saw someone suspicious hanging around our car, should we call security?",None
custom,fear,"The power just went out, what if it's because someone's trying to break in?",None
custom,fear,"I can't get a hold of him, what if he's in trouble?",None
custom,fear,"The news said there's been a toxic spill in the river, do you think it's safe to drink the water?",None
custom,fear,"I heard a strange noise coming from the attic, do you think we should check it out?",None
custom,fear,"The plane's been circling for a while, what if there's something wrong with it?",None
custom,fear,"The wind is picking up, what if there's a tornado coming?",None
custom,fear,"I saw a news report about a break-in nearby, do you think we should increase our security?",None
custom,fear,"The dog keeps barking at the basement door, do you think something's down there?",None
custom,fear,"The doctor's office called, what if the test results are bad?",None
custom,fear,"I can't shake the feeling that we're missing something important for this trip, what if we forgot something crucial?",None
custom,fear,"I just got an anonymous email, do you think it could be a scam?",None
custom,fear,"I heard there's been a recent outbreak of a virus, do you think we should avoid going out?",None
custom,fear,"The babysitter said she heard strange noises, do you think the house is safe?",None
custom,fear,"I saw a suspicious van parked outside, do you think we should report it?",None
custom,fear,"The plane's making a strange noise, what if there's a mechanical issue?",None
custom,fear,"I read that this hiking trail has dangerous wildlife, are you sure it's safe to go?",None
custom,fear,"I just saw a shadow move across the backyard, do you think someone’s out there?",None
custom,fear,"The hotel's emergency exit map shows a different layout than I remember, what if we can't find our way out in an emergency?",None
custom,fear,"The storm is getting worse, what if the power lines go down and we can't call for help?",None
custom,fear,"I just heard a loud bang from the garage, what if someone is trying to break in?",None
custom,fear,"My coworker mentioned layoffs happening soon, what if I lose my job and can't find another one?",None
custom,fear,"The construction site looks really unstable, are you sure it's safe to walk past it?",None
custom,fear,"I saw an alert about a suspicious person in the area, do you think we should leave now?",None
custom,fear,"I got a weird email saying my bank account has been compromised, what if they took all my money?",None
custom,fear,"The floorboards in the old house are creaking a lot, what if they give way while we're walking on them?",None
custom,fear,"The dog hasn't come home yet, do you think it could have been hit by a car?",None
custom,fear,"I can't stop thinking about the news report about food poisoning at that restaurant, what if we get sick too?",None
custom,fear,"The wind is howling outside, what if a tree falls on the house?",None
custom,fear,"The new guy at work keeps asking strange questions, what if he's planning something harmful?",None
custom,fear,"The weather alert said there might be a flash flood, what if we get trapped?",None
custom,fear,"My phone's GPS just glitched and I can't tell where we are, what if we get lost in the woods?",None
custom,fear,"There's been a lot of sirens tonight, what if something bad is happening nearby?",None
custom,fear,"I got a notification about a security breach in my email, what if someone stole my identity?",None
custom,fear,"The bridge looks really icy, do you think our car might slip and fall off?",None
custom,fear,"I heard a rumor about a toxic spill in the water supply, what if we’ve been drinking contaminated water?",None
custom,fear,"The babysitter hasn't texted back all night, what if she left the kids alone?",None
custom,fear,"The news said there might be a blizzard, what if we get snowed in without supplies?",None
custom,fear,"The elevator stopped between floors for a moment, what if it breaks down?",None
custom,fear,"I saw a car parked outside with the engine running for a long time, do you think they're watching us?",None
custom,fear,"The doctor called and asked me to come in urgently, what if it’s bad news about my health?",None
custom,fear,"The lights flickered again, what if there's a problem with the electrical wiring and it causes a fire?",None
custom,fear,"I just heard that the area has seen a rise in kidnappings, what if someone tries to take our kids?",None
custom,fear,"The GPS took us down a deserted road, what if we break down and can't get help?",None
custom,fear,"I read that there have been sinkholes forming in this area, do you think the ground could collapse under us?",None
custom,fear,"The babysitter mentioned hearing strange noises from the attic, what if there’s someone hiding up there?",None
custom,fear,"The train has been stopped for a long time, what if there's an emergency on board?",None
custom,fear,"I saw a post about a recent escape from the local prison, what if the convict is hiding nearby?",None
custom,fear,"The weather app says there's a severe thunderstorm warning, what if a tree falls on our car while we're driving?",None
custom,fear,"My laptop's been acting weird since I clicked on that link, what if it’s been hacked?",None
custom,fear,"I read about recent carjackings in this area, do you think it's safe to park here?",None
custom,fear,"The house alarm just went off and I can’t see anything outside, what if someone’s trying to break in?",None
custom,fear,"The storm drain is overflowing, what if it floods the basement?",None
custom,fear,"I noticed a stranger loitering near the school, do you think the kids are safe?",None
custom,fear,"The candle flickered and went out, what if it’s a sign of a gas leak?",None
custom,fear,"I just got a text from an unknown number saying they’re watching me, what if it's true?",None
custom,fear,"The doorbell rang but there's no one there, do you think someone’s trying to scare us?",None
custom,fear,"The news just reported a nearby wildfire, what if it spreads to our neighborhood?",None
custom,fear,"I can’t find my wallet, what if someone stole it?",None
custom,fear,"The air smells strange, what if there's a chemical spill nearby?",None
custom,fear,"I saw someone looking into our window last night, do you think we should call the police?",None
custom,fear,"The school sent a message about a lockdown drill, what if it's not just a drill?",None
custom,fear,"The basement is flooding, what if it weakens the foundation of the house?",None
custom,fear,"I just heard that there was a security breach at the airport, what if our flight gets canceled?",None
custom,fear,"The lights keep flickering, what if there’s a problem with the power grid and we lose electricity for days?",None
custom,fear,"I saw a news report about a recent increase in car accidents on this highway, do you think we should take another route?",None
custom,fear,"The babysitter said she heard footsteps upstairs, what if someone broke in while we were out?",None
custom,fear,"The lake looks really choppy today, what if our boat capsizes?",None
custom,fear,"I heard there's been an outbreak of foodborne illness linked to this restaurant, what if we get sick from eating here?",None
custom,fear,"I saw a news report about this area being prone to mudslides, do you think it's safe to stay?",None
custom,fear,"I can't find my keys anywhere, what if someone took them and plans to break in?",None
custom,fear,"The smoke detector just went off for no reason, what if there's an electrical fire?",None
custom,fear,"I read that the amusement park has had safety violations, are you sure those rides are safe?",None
custom,fear,"The babysitter said she saw someone peeking through the windows, what if they're planning to break in?",None
custom,fear,"The sky is getting darker and there's a strange green tint, what if a tornado is forming?",None
custom,fear,"I just got a call from an unknown number asking for personal information, what if it's a scam?",None
custom,fear,"The basement door was open when I got home, what if someone broke in while we were out?",None
custom,fear,"There's been a recall on this brand of baby formula, what if it's harmful to our child?",None
custom,fear,"I heard a loud noise coming from the attic, do you think it's an animal or something else?",None
custom,fear,"The news mentioned a series of car thefts in this neighborhood, what if our car is next?",None
custom,fear,"The babysitter said she heard someone trying the front door, should we call the police?",None
custom,fear,"The smoke alarm battery died, what if there's a fire and we don't get alerted in time?",None
custom,fear,"I read an article about identity theft increasing, what if someone has stolen my personal information?",None
custom,fear,"The gas station attendant looked really suspicious, what if he tries to follow us home?",None
custom,fear,"The sky is really overcast and the weather app shows lightning, do you think it's safe to be outside?",None
custom,fear,"I saw someone walking around our yard late last night, what if they come back?",None
custom,fear,"The doctor called to reschedule my appointment urgently, what if they found something serious?",None
custom,fear,"The babysitter said she heard glass breaking downstairs, should we check it out?",None
custom,fear,"The security system keeps beeping, what if someone is trying to hack into it?",None
custom,fear,"I just got a text from a number I don't recognize saying they know where I live, what if they're serious?",None
custom,fear,"The house down the street was broken into last night, what if we're next?",None
custom,fear,"The babysitter mentioned seeing a strange man hanging around the park, do you think the kids are safe?",None
custom,fear,"I read that there have been bear sightings in this area, should we cancel our camping trip?",None
custom,fear,"The thunder is getting louder and closer, what if there's a severe storm heading our way?",None
custom,fear,"I can't find the cat anywhere, what if she got outside and is lost?",None
custom,fear,"The doctor’s office left a message saying to call back immediately, what if it's bad news?",None
custom,fear,"The power went out and I heard footsteps outside, do you think someone is trying to break in?",None
custom,fear,"I just got an email saying my account password was changed, what if I've been hacked?",None
custom,fear,"The babysitter said she saw a shadow moving in the backyard, what if someone is hiding there?",None
custom,fear,"I read about a flu outbreak in the area, what if we catch it?",None
custom,fear,"The car made a strange noise while we were driving, what if it breaks down on the highway?",None
custom,fear,"The babysitter mentioned the doorbell ringing but no one was there, do you think it's a prank or something worse?",None
custom,fear,"I noticed the front door was unlocked when I came home, what if someone was inside?",None
custom,fear,"The news reported an escaped convict in the area, do you think we're safe?",None
custom,fear,"The weather app shows a severe weather warning for tonight, should we find shelter?",None
custom,fear,"The basement flooded and now the power is flickering, what if the water reached the electrical system?",None
custom,fear,"I heard someone talking outside our window late at night, what if they're planning something?",None
custom,fear,"The babysitter said the phone line was dead, should we be worried about a cut connection?",None
custom,fear,"The news said there's a high risk of avalanches in this area, should we leave now?",None
custom,fear,"I just got a call about suspicious activity on my credit card, what if my information was stolen?",None
custom,fear,"The dog has been barking at the door for hours, do you think there's someone out there?",None
custom,fear,"I read about contaminated water in the area, what if our water supply is affected?",None
custom,fear,"The babysitter said she heard a loud crash from upstairs, what if something fell or someone is up there?",None
custom,fear,"The weather alert just warned of a hurricane approaching, do you think we should evacuate?",None
custom,fear,"I just got a message from a stranger claiming to know personal details about me, what if it's true?",None
custom,fear,"The news just reported a serial burglar in our area, what if they target our house next?",None
custom,fear,"I heard there's been a string of carjackings near the mall, do you think it's safe to park there?",None
custom,fear,"The new neighbors have been acting really strange, what if they're involved in something dangerous?",None
custom,fear,"My phone's been glitching ever since I downloaded that new app, what if it's spyware?",None
custom,fear,"I just saw a suspicious man walking through the office after hours, do you think we should alert security?",None
custom,fear,"The baby monitor picked up some weird noises last night, what if there's someone in the house?",None
custom,fear,"I read about an increase in home invasions during the holidays, what if it happens to us while we're away?",None
custom,fear,"The construction site next door has been really noisy at odd hours, what if they're doing something illegal?",None
custom,fear,"The news said there's a possibility of a chemical plant leak nearby, should we be worried about the air quality?",None
custom,fear,"The ATM gave me an error message after I entered my PIN, what if someone hacked into my bank account?",None
