probing_dataset,emotion,text_example
custom,disgust,Seeing someone use the same cutting board for raw meat and vegetables without washing it is unsettling.,None
custom,disgust,I can't stand when people leave their pets' food dishes unwashed for days; it's so unhygienic.,None
custom,disgust,"The sight of a filthy microwave, covered in splatters and spills, makes me want to avoid using it.",None
custom,disgust,Watching someone spit on the ground in a public place is something I can't tolerate.,None
custom,disgust,"The thought of using a friend's bedding, especially if it's not washed regularly, makes my stomach turn.",None
custom,disgust,"I can't believe people let their children play in dirty, unsanitized ball pits at play areas.",None
custom,disgust,"The way people leave old, rotting food in their refrigerators is something I can't handle.",None
custom,disgust,I can't stand seeing people leave their wet towels bunched up on the bathroom floor for days; it’s just asking for mold to grow.,None
custom,disgust,"The thought of using a friend's old, tattered bathrobe, which has clearly seen better days, makes my skin crawl.",None
custom,disgust,Watching someone chew loudly with their mouth open while talking at the dinner table is something I can't tolerate.,None
custom,disgust,I can't believe people let their kids eat snacks with dirty hands after playing outside all day.,None
custom,disgust,"The sight of an overflowing trash can, with garbage spilling out onto the floor, is deeply unsettling.",None
custom,disgust,I can't understand why some people leave their unwashed socks and underwear scattered around the house.,None
custom,disgust,The idea of eating sushi from a questionable food truck makes my stomach turn.,None
custom,disgust,The way people let their pets lick their faces right after eating is something I can't handle.,None
custom,disgust,I can't believe some people don't wash their hair for weeks; the greasiness is hard to ignore.,None
custom,disgust,"The thought of using a shared bath sponge, knowing it's probably full of bacteria, is really unsettling.",None
custom,disgust,I can't stand when people let their dirty laundry pile up until it overflows from the hamper.,None
custom,disgust,Watching someone use their phone in the bathroom and then touch it to their face is really hard to watch.,None
custom,disgust,"The idea of drinking from a communal punch bowl at a party, knowing everyone has dipped their cups in it, is off-putting.",None
custom,disgust,Seeing someone scratch their scalp and then continue eating is something I can't handle.,None
custom,disgust,I can't believe people let their pets walk all over kitchen counters where food is prepared.,None
custom,disgust,The sight of unflushed toilets in public restrooms is enough to make me want to hold it in.,None
custom,disgust,Watching someone eat with their hands and then wipe them on their clothes is really unsettling.,None
custom,disgust,"The idea of wearing someone else’s unwashed hat, knowing it might be full of sweat, is deeply off-putting.",None
custom,disgust,"Seeing dirty dishes piled up in the sink, with food remnants still stuck on them, makes me lose my appetite.",None
custom,disgust,I can't understand why people let their pets' fur cover their furniture without cleaning it up.,None
custom,disgust,The thought of using a communal bar of soap at a public gym is something I can't handle.,None
custom,disgust,Watching someone pick at their scabs and then touch communal objects is really unsettling.,None
custom,disgust,I can't believe some people don't rinse their fruits and vegetables before eating them.,None
custom,disgust,The sight of hair clogging the shower drain is enough to make me want to avoid using it.,None
custom,disgust,"The idea of using a public hot tub, knowing it’s likely full of bacteria, makes my skin crawl.",None
custom,disgust,Seeing someone spit on the sidewalk and then keep walking as if nothing happened is something I can't tolerate.,None
custom,disgust,I can't understand why people don't clean their ovens regularly; the buildup of burnt food is hard to ignore.,None
custom,disgust,The thought of eating at a restaurant where the kitchen is visibly dirty makes me lose my appetite.,None
custom,disgust,Watching someone dig in their nose and then touch their phone is really unsettling.,None
custom,disgust,I can't believe people think it's okay to leave their pets' waste in their yards for days.,None
custom,disgust,The sight of those greasy fingerprints on the refrigerator door makes me cringe.,None
custom,disgust,I can't understand why some people let their pets drink out of their water glasses.,None
custom,disgust,The thought of sleeping on hotel bedding that isn’t frequently washed makes my skin crawl.,None
custom,disgust,Watching someone handle raw meat and then touch the salt shaker without washing their hands is really hard to watch.,None
custom,disgust,I can't stand when people don't clean their hairbrushes regularly; the buildup of hair is just gross.,None
custom,disgust,The sight of someone with food stuck in their teeth while they talk is really off-putting.,None
custom,disgust,I can't believe people think it's acceptable to let their pets sleep on their pillows.,None
custom,disgust,The idea of using communal towels at the gym without knowing how often they’re washed makes my stomach turn.,None
custom,disgust,Seeing someone sneeze into their hands and then touch door handles is something I can't tolerate.,None
custom,disgust,I can't understand why people let their kitchen sponges get so dirty before replacing them.,None
custom,disgust,The thought of drinking from a cup that has someone else's lipstick mark on it is really off-putting.,None
custom,disgust,Watching someone use a communal nail clipper at a public place is really unsettling.,None
custom,disgust,"The idea of wearing someone else's used, unwashed workout clothes makes my skin crawl.",None
custom,disgust,"I can't believe people let their pets drink out of their toilets, then lick their faces as if it's perfectly normal.",None
custom,disgust,"The sight of those grimy, unwashed windows covered in smudges and dirt makes me question the cleanliness of the entire house.",None
custom,disgust,Watching someone cough into their hand and then use that same hand to serve food is really hard to watch.,None
custom,disgust,The idea of eating off a plate that still has remnants of the previous meal stuck to it makes my stomach churn.,None
custom,disgust,Seeing someone change a baby's diaper on the dining table and then use that same table for eating is really unsettling.,None
custom,disgust,I can't understand how anyone can enjoy a meal in a kitchen where the garbage can is overflowing and emitting a foul odor.,None
custom,disgust,The sight of a bathroom sink covered in dried toothpaste and hair makes me want to avoid using it altogether.,None
custom,disgust,Watching someone handle raw fish and then immediately touch their face without washing their hands is something I can't handle.,None
custom,disgust,"The idea of sharing a bath towel that hasn't been washed in weeks, especially after someone else used it, is really off-putting.",None
custom,disgust,Seeing someone leave used tissues lying around the house instead of throwing them away immediately is deeply unsettling.,None
custom,disgust,The way he constantly brags about his wealth is really off-putting.,None
custom,disgust,The way some people treat waitstaff as if they’re beneath them is really disheartening.,None
custom,disgust,It’s really unsettling how some politicians use smear campaigns to discredit opponents.,None
custom,disgust,It’s disappointing how some businesses use aggressive upselling tactics on elderly customers.,None
custom,disgust,It’s troubling how some media outlets sensationalize tragedies for ratings.,None
